Timestamp,FPS,CPU_Usage,GPU_Usage,Triangle_Count,Has_Lighting,Has_Textures
0.0,60.0,15.2,25.3,1,false,false
1.0,59.8,16.1,26.1,1,false,false
2.0,59.5,17.3,27.2,1,false,false
3.0,58.2,18.5,28.9,25,false,false
4.0,57.8,19.2,29.1,25,false,false
5.0,57.1,20.1,30.5,25,false,false
6.0,55.3,22.4,32.8,50,false,false
7.0,54.9,23.1,33.2,50,false,false
8.0,54.2,24.3,34.1,50,false,false
9.0,52.1,26.7,36.9,75,false,false
10.0,51.8,27.2,37.5,75,false,false
11.0,51.2,28.1,38.2,75,false,false
12.0,48.9,31.5,42.1,100,false,false
13.0,48.3,32.2,42.8,100,false,false
14.0,47.8,33.1,43.5,100,false,false
15.0,45.2,36.8,47.2,125,false,false
16.0,44.7,37.5,47.9,125,false,false
17.0,44.1,38.3,48.6,125,false,false
18.0,41.8,42.1,52.3,150,false,false
19.0,41.2,42.8,53.1,150,false,false
20.0,40.7,43.5,53.8,150,false,false
21.0,38.9,47.2,58.1,175,false,false
22.0,38.3,47.9,58.8,175,false,false
23.0,37.8,48.6,59.5,175,false,false
24.0,35.2,52.3,63.2,200,false,false
25.0,34.7,52.8,63.9,200,false,false
26.0,34.1,53.5,64.6,200,false,false
27.0,31.8,57.2,68.3,225,false,false
28.0,31.2,57.9,69.1,225,false,false
29.0,30.7,58.6,69.8,225,false,false
30.0,28.9,62.3,73.5,250,false,false
31.0,28.3,62.8,74.2,250,false,false
32.0,27.8,63.5,74.9,250,false,false
33.0,25.2,67.2,78.6,275,false,false
34.0,24.7,67.9,79.3,275,false,false
35.0,24.1,68.6,80.1,275,false,false
36.0,21.8,72.3,83.8,300,false,false
37.0,21.2,72.8,84.5,300,false,false
38.0,20.7,73.5,85.2,300,false,false
39.0,18.9,77.2,88.9,325,false,false
40.0,18.3,77.9,89.6,325,false,false
41.0,17.8,78.6,90.3,325,false,false
42.0,15.2,82.3,94.1,350,false,false
43.0,14.7,82.8,94.8,350,false,false
44.0,14.1,83.5,95.5,350,false,false
45.0,11.8,87.2,99.2,375,false,false
46.0,11.2,87.9,99.9,375,false,false
47.0,10.7,88.6,100.0,375,false,false
48.0,8.9,92.3,100.0,400,false,false
49.0,8.3,92.8,100.0,400,false,false
50.0,7.8,93.5,100.0,400,false,false
51.0,55.0,18.5,32.1,1,true,false
52.0,54.8,19.1,32.8,1,true,false
53.0,54.5,19.8,33.5,1,true,false
54.0,52.2,22.1,36.9,25,true,false
55.0,51.8,22.8,37.5,25,true,false
56.0,51.1,23.5,38.2,25,true,false
57.0,49.3,25.8,41.8,50,true,false
58.0,48.9,26.5,42.5,50,true,false
59.0,48.2,27.2,43.2,50,true,false
60.0,46.1,29.5,46.9,75,true,false
61.0,45.8,30.2,47.5,75,true,false
62.0,45.2,30.9,48.2,75,true,false
63.0,42.9,33.2,51.8,100,true,false
64.0,42.3,33.9,52.5,100,true,false
65.0,41.8,34.6,53.2,100,true,false
66.0,39.2,36.9,56.9,125,true,false
67.0,38.7,37.5,57.5,125,true,false
68.0,38.1,38.2,58.2,125,true,false
69.0,35.8,40.5,61.8,150,true,false
70.0,35.2,41.2,62.5,150,true,false
71.0,34.7,41.9,63.2,150,true,false
72.0,32.9,44.2,66.9,175,true,false
73.0,32.3,44.8,67.5,175,true,false
74.0,31.8,45.5,68.2,175,true,false
75.0,29.2,47.8,71.8,200,true,false
76.0,28.7,48.5,72.5,200,true,false
77.0,28.1,49.2,73.2,200,true,false
78.0,25.9,51.5,76.9,225,true,false
79.0,25.3,52.2,77.5,225,true,false
80.0,24.8,52.9,78.2,225,true,false
81.0,22.9,55.2,81.8,250,true,false
82.0,22.3,55.9,82.5,250,true,false
83.0,21.8,56.6,83.2,250,true,false
84.0,19.9,58.9,86.9,275,true,false
85.0,19.3,59.6,87.5,275,true,false
86.0,18.8,60.3,88.2,275,true,false
87.0,16.9,62.6,91.8,300,true,false
88.0,16.3,63.3,92.5,300,true,false
89.0,15.8,64.0,93.2,300,true,false
90.0,13.9,66.3,96.9,325,true,false
91.0,13.3,67.0,97.5,325,true,false
92.0,12.8,67.7,98.2,325,true,false
93.0,10.9,69.0,99.5,350,true,false
94.0,10.3,69.7,100.0,350,true,false
95.0,9.8,70.4,100.0,350,true,false
96.0,7.9,72.7,100.0,375,true,false
97.0,7.3,73.4,100.0,375,true,false
98.0,6.8,74.1,100.0,375,true,false
99.0,4.9,76.4,100.0,400,true,false
100.0,4.3,77.1,100.0,400,true,false
101.0,3.8,77.8,100.0,400,true,false
102.0,50.0,20.5,35.1,1,false,true
103.0,49.8,21.1,35.8,1,false,true
104.0,49.5,21.8,36.5,1,false,true
105.0,47.2,24.1,39.9,25,false,true
106.0,46.8,24.8,40.5,25,false,true
107.0,46.1,25.5,41.2,25,false,true
108.0,44.3,27.8,44.8,50,false,true
109.0,43.9,28.5,45.5,50,false,true
110.0,43.2,29.2,46.2,50,false,true
111.0,41.1,31.5,49.9,75,false,true
112.0,40.8,32.2,50.5,75,false,true
113.0,40.2,32.9,51.2,75,false,true
114.0,37.9,35.2,54.8,100,false,true
115.0,37.3,35.9,55.5,100,false,true
116.0,36.8,36.6,56.2,100,false,true
117.0,34.2,38.9,59.9,125,false,true
118.0,33.7,39.5,60.5,125,false,true
119.0,33.1,40.2,61.2,125,false,true
120.0,30.8,42.5,64.8,150,false,true
121.0,30.2,43.2,65.5,150,false,true
122.0,29.7,43.9,66.2,150,false,true
123.0,27.9,46.2,69.9,175,false,true
124.0,27.3,46.8,70.5,175,false,true
125.0,26.8,47.5,71.2,175,false,true
126.0,24.2,49.8,74.8,200,false,true
127.0,23.7,50.5,75.5,200,false,true
128.0,23.1,51.2,76.2,200,false,true
129.0,20.9,53.5,79.9,225,false,true
130.0,20.3,54.2,80.5,225,false,true
131.0,19.8,54.9,81.2,225,false,true
132.0,17.9,57.2,84.8,250,false,true
133.0,17.3,57.9,85.5,250,false,true
134.0,16.8,58.6,86.2,250,false,true
135.0,14.9,60.9,89.9,275,false,true
136.0,14.3,61.6,90.5,275,false,true
137.0,13.8,62.3,91.2,275,false,true
138.0,11.9,64.6,94.8,300,false,true
139.0,11.3,65.3,95.5,300,false,true
140.0,10.8,66.0,96.2,300,false,true
141.0,8.9,68.3,99.9,325,false,true
142.0,8.3,69.0,100.0,325,false,true
143.0,7.8,69.7,100.0,325,false,true
144.0,5.9,71.0,100.0,350,false,true
145.0,5.3,71.7,100.0,350,false,true
146.0,4.8,72.4,100.0,350,false,true
147.0,2.9,74.7,100.0,375,false,true
148.0,2.3,75.4,100.0,375,false,true
149.0,1.8,76.1,100.0,375,false,true
150.0,0.9,78.4,100.0,400,false,true
151.0,0.3,79.1,100.0,400,false,true
152.0,0.8,79.8,100.0,400,false,true
153.0,45.0,22.5,38.1,1,true,true
154.0,44.8,23.1,38.8,1,true,true
155.0,44.5,23.8,39.5,1,true,true
156.0,42.2,26.1,42.9,25,true,true
157.0,41.8,26.8,43.5,25,true,true
158.0,41.1,27.5,44.2,25,true,true
159.0,39.3,29.8,47.8,50,true,true
160.0,38.9,30.5,48.5,50,true,true
161.0,38.2,31.2,49.2,50,true,true
162.0,36.1,33.5,52.9,75,true,true
163.0,35.8,34.2,53.5,75,true,true
164.0,35.2,34.9,54.2,75,true,true
165.0,32.9,37.2,57.8,100,true,true
166.0,32.3,37.9,58.5,100,true,true
167.0,31.8,38.6,59.2,100,true,true
168.0,29.2,40.9,62.9,125,true,true
169.0,28.7,41.5,63.5,125,true,true
170.0,28.1,42.2,64.2,125,true,true
171.0,25.8,44.5,67.8,150,true,true
172.0,25.2,45.2,68.5,150,true,true
173.0,24.7,45.9,69.2,150,true,true
